"featureNames","featureDescriptions"
"c1_freqA19","For sites of class 1: Frequency of adenine at position 19"
"c1_freqA20","For sites of class 1: Frequency of adenine at position 20"
"c1_freqA21","For sites of class 1: Frequency of adenine at position 21"
"c1_freqA22","For sites of class 1: Frequency of adenine at position 22"
"c1_freqA23","For sites of class 1: Frequency of adenine at position 23"
"c1_freqA24","For sites of class 1: Frequency of adenine at position 24"
"c1_freqA25","For sites of class 1: Frequency of adenine at position 25"
"c1_freqA26","For sites of class 1: Frequency of adenine at position 26"
"c1_freqA27","For sites of class 1: Frequency of adenine at position 27"
"c1_freqA28","For sites of class 1: Frequency of adenine at position 28"
"c1_freqA29","For sites of class 1: Frequency of adenine at position 29"
"c1_freqA30","For sites of class 1: Frequency of adenine at position 30"
"c1_freqU-10","For sites of class 1: Frequency of uracil at position -10"
"c1_freqU-9","For sites of class 1: Frequency of uracil at position -9"
"c1_freqU-8","For sites of class 1: Frequency of uracil at position -8"
"c1_freqU-7","For sites of class 1: Frequency of uracil at position -7"
"c1_freqU-6","For sites of class 1: Frequency of uracil at position -6"
"c1_freqU-5","For sites of class 1: Frequency of uracil at position -5"
"c1_freqU-4","For sites of class 1: Frequency of uracil at position -4"
"c1_freqU-3","For sites of class 1: Frequency of uracil at position -3"
"c1_freqU-2","For sites of class 1: Frequency of uracil at position -2"
"c1_freqU-1","For sites of class 1: Frequency of uracil at position -1"
"c1_freqU1","For sites of class 1: Frequency of uracil at position 1"
"c1_freqU2","For sites of class 1: Frequency of uracil at position 2"
"c1_freqU3","For sites of class 1: Frequency of uracil at position 3"
"c1_freqU4","For sites of class 1: Frequency of uracil at position 4"
"c1_freqU5","For sites of class 1: Frequency of uracil at position 5"
"c1_freqU6","For sites of class 1: Frequency of uracil at position 6"
"c1_freqU7","For sites of class 1: Frequency of uracil at position 7"
"c1_freqU8","For sites of class 1: Frequency of uracil at position 8"
"c1_freqU9","For sites of class 1: Frequency of uracil at position 9"
"c1_freqU10","For sites of class 1: Frequency of uracil at position 10"
"c1_freqU11","For sites of class 1: Frequency of uracil at position 11"
"c1_freqU12","For sites of class 1: Frequency of uracil at position 12"
"c1_freqU13","For sites of class 1: Frequency of uracil at position 13"
"c1_freqU14","For sites of class 1: Frequency of uracil at position 14"
"c1_freqU15","For sites of class 1: Frequency of uracil at position 15"
"c1_freqU16","For sites of class 1: Frequency of uracil at position 16"
"c1_freqU17","For sites of class 1: Frequency of uracil at position 17"
"c1_freqU18","For sites of class 1: Frequency of uracil at position 18"
"c1_freqU19","For sites of class 1: Frequency of uracil at position 19"
"c1_freqU20","For sites of class 1: Frequency of uracil at position 20"
"c1_freqU21","For sites of class 1: Frequency of uracil at position 21"
"c1_freqU22","For sites of class 1: Frequency of uracil at position 22"
"c1_freqU23","For sites of class 1: Frequency of uracil at position 23"
"c1_freqU24","For sites of class 1: Frequency of uracil at position 24"
"c1_freqU25","For sites of class 1: Frequency of uracil at position 25"
"c1_freqU26","For sites of class 1: Frequency of uracil at position 26"
"c1_freqU27","For sites of class 1: Frequency of uracil at position 27"
"c1_freqU28","For sites of class 1: Frequency of uracil at position 28"
"c1_freqU29","For sites of class 1: Frequency of uracil at position 29"
"c1_freqU30","For sites of class 1: Frequency of uracil at position 30"
"c1_freqG-10","For sites of class 1: Frequency of guanine at position -10"
"c1_freqG-9","For sites of class 1: Frequency of guanine at position -9"
"c1_freqG-8","For sites of class 1: Frequency of guanine at position -8"
"c1_freqG-7","For sites of class 1: Frequency of guanine at position -7"
"c1_freqG-6","For sites of class 1: Frequency of guanine at position -6"
"c1_freqG-5","For sites of class 1: Frequency of guanine at position -5"
"c1_freqG-4","For sites of class 1: Frequency of guanine at position -4"
"c1_freqG-3","For sites of class 1: Frequency of guanine at position -3"
"c1_freqG-2","For sites of class 1: Frequency of guanine at position -2"
"c1_freqG-1","For sites of class 1: Frequency of guanine at position -1"
"c1_freqG1","For sites of class 1: Frequency of guanine at position 1"
"c1_freqG2","For sites of class 1: Frequency of guanine at position 2"
"c1_freqG3","For sites of class 1: Frequency of guanine at position 3"
"c1_freqG4","For sites of class 1: Frequency of guanine at position 4"
"c1_freqG5","For sites of class 1: Frequency of guanine at position 5"
"c1_freqG6","For sites of class 1: Frequency of guanine at position 6"
"c1_freqG7","For sites of class 1: Frequency of guanine at position 7"
"c1_freqG8","For sites of class 1: Frequency of guanine at position 8"
"c1_freqG9","For sites of class 1: Frequency of guanine at position 9"
"c1_freqG10","For sites of class 1: Frequency of guanine at position 10"
"c1_freqG11","For sites of class 1: Frequency of guanine at position 11"
"c1_freqG12","For sites of class 1: Frequency of guanine at position 12"
"c1_freqG13","For sites of class 1: Frequency of guanine at position 13"
"c1_freqG14","For sites of class 1: Frequency of guanine at position 14"
"c1_freqG15","For sites of class 1: Frequency of guanine at position 15"
"c1_freqG16","For sites of class 1: Frequency of guanine at position 16"
